Date,Close,LINEAR_REGRESSION,KNN,LSTM,ARIMA
2020-05-29,15.49,23.790000999999997,23.8140002,16.047773,[15.79550151]
2020-06-01,15.89,24.23,24.2399998,16.217169,[15.55689745]
2020-06-02,16.24,25.459999,25.454000200000003,16.350014,[15.86770277]
2020-06-03,17.24,25.5,25.502000000000002,16.488567,[16.19443347]
2020-06-04,17.629998999999998,25.51,25.518,16.734978,[17.19679066]
2020-06-05,18.639999,25.950001,25.9520006,17.056278,[17.61148935]
2020-06-08,18.709999,25.459999,25.454000200000003,17.504404,[18.60930666]
2020-06-09,17.91,25.690001000000002,25.6920004,17.973246,[18.71438063]
2020-06-10,17.540001,26.01,26.014,18.292933,[17.94648207]
2020-06-11,16.1,25.91,25.891999399999996,18.447052,[17.59140822]
2020-06-12,17.57,26.25,26.226000799999998,18.312138,[16.14019927]
2020-06-15,17.129998999999998,26.01,26.014,18.229988,[17.52033802]
2020-06-16,17.049999,26.049999,26.0439998,18.127502,[17.11012319]
2020-06-17,16.98,24.940001000000002,24.944,18.019356,[17.04482937]
2020-06-18,17.17,24.889999,24.894,17.914509,[17.03287596]
2020-06-19,17.85,25.02,25.0160002,17.84983,[17.13512647]
2020-06-22,17.02,24.799999,24.7959998,17.900589,[17.82269709]
2020-06-23,17.42,26.01,26.014,17.903084,[17.04129064]
2020-06-24,16.940001000000002,26.48,26.470000399999996,17.932852,[17.43073779]
2020-06-25,17.27,26.639999,26.6260002,17.913897,[16.96019536]
2020-06-26,14.52,27.58,27.588,17.914692,[17.24227916]
2020-06-29,15.3,26.040001,26.0439998,17.585972,[14.64762827]
2020-06-30,15.32,26.299999,26.298000000000002,17.227203,[15.29521564]
2020-07-01,15.27,26.700001,26.688000199999998,16.898565,[15.30532455]
2020-07-02,16.07,27.24,27.244000399999997,16.621382,[15.19856515]
2020-07-06,16.65,27.610001,27.6060004,16.502686,[16.08890046]
2020-07-07,15.76,27.65,27.6439998,16.553125,[16.59896024]
2020-07-08,15.7,27.629998999999998,27.630000000000003,16.580606,[15.791696]
2020-07-09,15.31,27.950001,27.948000999999998,16.5867,[15.74108903]
2020-07-10,15.34,27.950001,27.948000999999998,16.53357,[15.32304571]
2020-07-13,15.51,27.85,27.8559996,16.45921,[15.31431629]
2020-07-14,14.95,27.93,27.9420008,16.402636,[15.51126876]
2020-07-15,16.09,27.74,27.732,16.294674,[14.96254273]
2020-07-16,16.57,27.940001000000002,27.946001000000003,16.309381,[16.0551417]
2020-07-17,16.459999,27.620001000000002,27.619999999999997,16.444477,[16.52790718]
2020-07-20,16.27,27.719998999999998,27.722000200000004,16.61375,[16.44758516]
2020-07-21,17.18,28.0,27.978000399999996,16.75712,[16.31727894]
2020-07-22,16.620001000000002,25.879998999999998,25.8819996,16.979939,[17.13556846]
2020-07-23,16.860001,25.59,25.5919996,17.147108,[16.61708994]
2020-07-24,16.209999,24.690001000000002,24.698000200000003,17.293453,[16.86233565]
2020-07-27,16.09,24.450001,24.450000600000003,17.328882,[16.25665916]
2020-07-28,15.97,23.399999999999995,23.399999799999996,17.286283,[16.07974768]
2020-07-29,16.0,23.339999999999996,23.355999599999997,17.19217,[15.9882221]
2020-07-30,15.84,23.089999999999996,23.104000199999994,17.085747,[15.98025546]
2020-07-31,15.57,23.200000999999997,23.2060002,16.96619,[15.85333545]
2020-08-03,14.82,22.899999999999995,22.8959994,16.821938,[15.58345472]
2020-08-04,14.73,22.149999999999995,22.1600004,16.59242,[14.85885608]
2020-08-05,14.85,22.089999999999996,22.084,16.336735,[14.7395114]
2020-08-06,14.49,21.519999999999996,21.516000400000003,16.113403,[14.83646786]
2020-08-07,14.25,21.219998999999994,21.1940004,15.89227,[14.48824895]
2020-08-10,14.95,21.429999999999996,21.392000000000003,15.671965,[14.27557322]
2020-08-11,14.84,22.169999999999998,22.177999999999997,15.562012,[14.92307109]
2020-08-12,14.6,22.719998999999994,22.724,15.511418,[14.81891415]
2020-08-13,14.8,22.870001,22.8799998,15.470952,[14.61559774]
2020-08-14,14.49,22.799998999999996,22.7999994,15.464653,[14.81362882]
2020-08-17,14.49,22.209998999999996,22.189999800000002,15.440709,[14.48281157]
2020-08-18,14.31,22.639998999999996,22.647999399999996,15.41015,[14.49097957]
2020-08-19,14.05,22.559998999999994,22.5579992,15.358168,[14.32290419]
2020-08-20,14.19,22.559998999999994,22.5579992,15.270121,[14.05202834]
2020-08-21,13.75,22.749999999999996,22.746,15.189407,[14.18999607]
2020-08-24,14.68,22.969998999999994,22.971999599999997,15.070367,[13.75908159]
2020-08-25,15.81,22.739999999999995,22.7359998,15.053346,[14.64070493]
2020-08-26,15.99,23.069999999999997,23.078000199999998,15.225383,[15.74650776]
2020-08-27,16.01,23.540000999999997,23.5320002,15.500036,[15.95463972]
2020-08-28,16.709999,23.819999999999997,23.8300002,15.7991905,[16.04137055]
2020-08-31,16.879998999999998,23.379998999999994,23.391999600000002,16.159355,[16.69100339]
2020-09-01,16.58,24.01,24.004,16.528242,[16.84591295]
2020-09-02,16.24,24.5,24.5100002,16.818777,[16.59277747]
2020-09-03,16.620001000000002,23.919999999999998,23.9120002,16.988781,[16.27770296]
2020-09-04,18.030001000000002,23.669999999999998,23.662,17.11937,[16.59909501]
2020-09-08,16.969998999999998,24.049999,24.049999,17.386015,[17.95003972]
2020-09-09,16.51,24.42,24.4340006,17.55765,[16.99078292]
2020-09-10,16.35,24.200001,24.2200002,17.601484,[16.57603058]
2020-09-11,16.34,23.620001,23.6240002,17.552454,[16.38844384]
2020-09-14,16.879998999999998,24.290001,24.314,17.45919,[16.29130652]
2020-09-15,17.23,23.839999999999996,23.841999999999995,17.42104,[16.85994726]
2020-09-16,17.799999,23.229999999999997,23.228000400000003,17.459929,[17.20755478]
2020-09-17,17.65,23.349999999999998,23.355999599999997,17.606375,[17.77458328]
