Date,Close,LINEAR_REGRESSION,KNN,LSTM,ARIMA
2019-06-20,26.25,31.049998999999996,31.0199996,26.311752,[25.90569172]
2019-06-21,26.01,31.649999999999995,31.642000200000002,26.479984,[26.24458603]
2019-06-24,26.049999,31.499999999999996,31.5,26.60938,[26.03816532]
2019-06-25,24.940001000000002,29.049998999999996,29.047999400000002,26.710125,[26.05928017]
2019-06-26,24.889999,29.700000999999997,29.729999999999997,26.680319,[25.04976962]
2019-06-27,25.02,29.749999999999996,29.759999800000003,26.579487,[24.92610295]
2019-06-28,24.799999,29.049998999999996,29.047999400000002,26.460802,[25.02878365]
2019-07-01,26.01,28.999999999999996,28.991999800000002,26.321741,[24.79944204]
2019-07-02,26.48,28.649999999999995,28.6379998,26.298815,[25.93508057]
2019-07-03,26.639999,28.249999999999996,28.220000200000005,26.383745,[26.42551817]
2019-07-05,27.58,28.499999999999996,28.498000400000002,26.535086,[26.61633774]
2019-07-08,26.040001,27.15,27.167999999999996,26.798935,[27.53901069]
2019-07-09,26.299999,27.35,27.352000200000003,26.952082,[26.1522033]
2019-07-10,26.700001,27.299999,27.285999600000004,27.059437,[26.32651057]
2019-07-11,27.24,27.700001,27.716000400000002,27.169094,[26.69269019]
2019-07-12,27.610001,28.200000999999997,28.220000200000005,27.320627,[27.16145337]
2019-07-15,27.65,27.450001,27.4500004,27.5156,[27.59190616]
2019-07-16,27.629998999999998,26.200001,26.1800006,27.719824,[27.65337318]
2019-07-17,27.950001,28.599999999999998,28.6179998,27.908695,[27.64922589]
2019-07-18,27.950001,27.950001,27.978000399999996,28.102825,[27.94094343]
2019-07-19,27.85,27.450001,27.4500004,28.28117,[27.95379696]
2019-07-22,27.93,27.139999,27.1260002,28.42497,[27.870127]
2019-07-23,27.74,26.15,26.1600004,28.54469,[27.94577432]
2019-07-24,27.940001000000002,25.959999,25.950000199999998,28.621593,[27.76544957]
2019-07-25,27.620001000000002,25.65,25.6620004,28.687895,[27.94038204]
2019-07-26,27.719998999999998,24.76,24.756,28.71073,[27.65744874]
2019-07-29,28.0,24.51,24.520000000000003,28.718391,[27.72910556]
2019-07-30,25.879998999999998,24.0,23.984,28.743656,[27.99424364]
2019-07-31,25.59,22.58,22.5779994,28.571241,[26.05353983]
2019-08-01,24.690001000000002,22.09,22.086000199999997,28.285896,[25.68459243]
2019-08-02,24.450001,24.32,24.3179996,27.879402,[24.79094836]
2019-08-05,23.4,24.48,24.5000004,27.42332,[24.46256122]
2019-08-06,23.34,25.290001,25.3180004,26.882662,[23.50494935]
2019-08-07,23.09,25.469998999999998,25.4700006,26.34137,[23.35867229]
2019-08-08,23.200001,25.059998999999998,25.0379998,25.82469,[23.11929256]
2019-08-09,22.9,24.219998999999998,24.234,25.37827,[23.18345299]
2019-08-12,22.15,23.52,23.524,24.982113,[22.93337913]
2019-08-13,22.09,23.33,23.3559998,24.580057,[22.217353]
2019-08-14,21.52,22.549999,22.5779994,24.205927,[22.12070226]
2019-08-15,21.219998999999998,23.42,23.4200002,23.827785,[21.56542673]
2019-08-16,21.43,23.379998999999998,23.395999999999997,23.45386,[21.24527274]
2019-08-19,22.17,22.07,22.086000199999997,23.134287,[21.42663274]
2019-08-20,22.719998999999998,22.809998999999998,22.8019996,22.939741,[22.10187772]
2019-08-21,22.870001000000002,24.790001,24.792000199999997,22.881126,[22.66504585]
2019-08-22,22.799999,26.58,26.5800002,22.916674,[22.85975072]
2019-08-23,22.209999,25.530001000000002,25.547999800000003,22.995117,[22.82373506]
2019-08-26,22.639999,25.34,25.332000200000003,23.03649,[22.27115865]
2019-08-27,22.559998999999998,24.790001,24.792000199999997,23.093521,[22.62628509]
2019-08-28,22.559998999999998,25.35,25.332000200000003,23.146248,[22.56295428]
2019-08-29,22.75,24.75,24.756000000000004,23.191923,[22.55630417]
2019-08-30,22.969998999999998,23.51,23.524,23.24698,[22.75400097]
2019-09-03,22.74,24.0,23.984,23.32232,[22.95251245]
2019-09-04,23.07,23.58,23.574,23.380732,[22.76080489]
2019-09-05,23.540001,23.9,23.8880002,23.455204,[23.06009243]
2019-09-06,23.82,23.950001,23.9720002,23.574926,[23.50823844]
2019-09-09,23.379998999999998,23.85,23.8880002,23.734554,[23.79062177]
2019-09-10,24.01,22.780001000000002,22.771999799999996,23.86108,[23.4239263]
2019-09-11,24.5,22.360001,22.3800004,24.017162,[23.98625726]
2019-09-12,23.92,22.16,22.1280004,24.220476,[24.46157785]
2019-09-13,23.67,22.299999,22.3320004,24.377172,[23.95240303]
2019-09-16,24.049999,23.0,22.9519994,24.47177,[23.72614431]
2019-09-17,24.42,23.65,23.6299998,24.559313,[24.04159291]
2019-09-18,24.200001,24.049999,24.0399992,24.668983,[24.376382]
2019-09-19,23.620001000000002,24.629998999999998,24.615999600000002,24.759966,[24.21520872]
2019-09-20,24.290001,24.99,25.003999999999998,24.77874,[23.6879081]
2019-09-23,23.84,25.940001000000002,25.927999999999997,24.81954,[24.26599909]
2019-09-24,23.23,25.280001000000002,25.2940004,24.825478,[23.8621719]
2019-09-25,23.35,24.52,24.520000000000003,24.755579,[23.28410714]
2019-09-26,23.65,23.719998999999998,23.6839998,24.662214,[23.38087552]
2019-09-27,22.92,23.969998999999998,23.972000200000004,24.591724,[23.61734353]
2019-09-30,22.690001000000002,24.120001000000002,24.1240002,24.471712,[22.966661]
2019-10-01,22.48,24.76,24.756,24.31493,[22.73917663]
2019-10-02,22.379998999999998,26.200001,26.1800006,24.13251,[22.51454708]
2019-10-03,22.84,25.01,25.003999999999998,23.943016,[22.38001854]
2019-10-04,22.809998999999998,24.25,24.2439998,23.808811,[22.81224777]
2019-10-07,22.58,24.25,24.2439998,23.713623,[22.80521151]
2019-10-08,22.049999,22.43,22.4300004,23.627386,[22.60479334]
2019-10-09,22.639999,21.15,21.1800006,23.505249,[22.11449674]
2019-10-10,22.82,20.5,20.5,23.42883,[22.6094402]
2019-10-11,23.17,20.67,20.6359996,23.400234,[22.79356292]
2019-10-14,22.870001000000002,22.370001000000002,22.380000399999997,23.432837,[23.13444317]
2019-10-15,22.43,23.540001,23.54,23.46859,[22.90937926]
2019-10-16,21.799999,23.6,23.5959998,23.46284,[22.47923074]
2019-10-17,21.99,24.33,24.347999599999998,23.377079,[21.8727492]
2019-10-18,21.530001000000002,23.940001000000002,23.932000199999997,23.272593,[21.98759101]
2019-10-21,21.450001,23.15,23.166,23.124268,[21.55918349]
2019-10-22,21.65,24.540001,24.544,22.957756,[21.46018587]
2019-10-23,21.76,25.33,25.332000200000003,22.813906,[21.65043604]
2019-10-24,21.75,25.889999,25.867999799999996,22.704926,[21.7407218]
2019-10-25,22.209999,25.23,25.218000200000002,22.623758,[21.7549076]
2019-10-28,22.99,24.76,24.756,22.607117,[22.18565568]
2019-10-29,22.77,24.879998999999998,24.8339996,22.698801,[22.9271534]
2019-10-30,22.93,25.02,25.003999999999998,22.822054,[22.77474613]
2019-10-31,23.02,25.450001,25.4700006,22.967169,[22.94037742]
2019-11-01,23.280001000000002,25.35,25.332000200000003,23.119879,[23.0317226]
2019-11-04,26.780001000000002,25.66,25.6620004,23.28733,[23.2548541]
2019-11-05,27.459999,26.02,25.9740002,23.773102,[26.52169508]
2019-11-06,27.99,24.4,24.377999999999997,24.454098,[27.34880977]
2019-11-07,26.700001,24.389999,24.377999999999997,25.233673,[27.9634731]
2019-11-08,26.49,27.35,27.352000200000003,25.874735,[26.86722032]
2019-11-11,26.440001000000002,27.799999,27.759999800000003,26.363949,[26.54157404]
2019-11-12,26.530001000000002,25.59,25.583999999999996,26.72037,[26.47431886]
2019-11-13,25.879998999999998,25.139999,25.135999599999998,26.979752,[26.50878289]
2019-11-14,26.049999,26.440001000000002,26.444,27.099566,[25.93607126]
2019-11-15,25.860001,26.620001000000002,26.5800002,27.149775,[26.06082213]
2019-11-18,25.5,27.700001,27.716000400000002,27.138344,[25.88620877]
2019-11-19,25.799999,26.299999,26.260000400000003,27.060297,[25.5242182]
